First Name,Last Name,Salary,Team,Opponent,Projection
Andrei,Vasilevskiy,8100,TAM,ANA,5.5
Braden,Holtby,7900,WAS,EDM,5.3
Martin,Jones,7400,SAN,LOS,5
Jonathan,Quick,8300,LOS,SAN,4.9
John,Gibson,7100,ANA,TAM,4.5
Anton,Forsberg,7500,CHI,NJD,4.3
Keith,Kinkaid,7100,NJD,CHI,4
Laurent,Brossoit,7200,EDM,WAS,3.1
Corey,Crawford,7600,CHI,NJD,0
Jean-Francois,Berube,6700,CHI,NJD,0
Cory,Schneider,7300,NJD,CHI,0
Cam,Talbot,7400,EDM,WAS,0
Philipp,Grubauer,7700,WAS,EDM,0
Aaron,Dell,7200,SAN,LOS,0
Darcy,Kuemper,8100,LOS,SAN,0
Reto,Berra,7000,ANA,TAM,0
Peter,Budaj,7900,TAM,ANA,0
Ryan,Miller,7000,ANA,TAM,0
