First Name,Last Name,Salary,Position,Team,Opponent,Line,Power_Play,Projection
Nikita,Kucherov,8200,W,TAM,ANA,1,1,4.8
Alex,Ovechkin,7800,W,WAS,EDM,1,1,4.8
Steven,Stamkos,7800,C,TAM,ANA,1,1,4.5
Connor,McDavid,8000,C,EDM,WAS,1,1,4.5
Patrick,Kane,7200,W,CHI,NJD,2,2,4.2
Brent,Burns,6800,D,SAN,LOS,1,1,3.9
Victor,Hedman,6300,D,TAM,ANA,1,1,3.7
Nicklas,Backstrom,6000,C,WAS,EDM,2,2,3.5
Taylor,Hall,7100,W,NJD,CHI,1,1,3.5
T.J.,Oshie,5700,W,WAS,EDM,2,2,3.4
Leon,Draisaitl,7300,W,EDM,WAS,1,1,3.4
John,Carlson,5700,D,WAS,EDM,1,1,3.3
Joe,Pavelski,6100,W,SAN,LOS,1,1,3.3
Brandon,Saad,6300,W,CHI,NJD,1,1,3.2
Oscar,Klefbom,5300,D,EDM,WAS,2,2,3.2
Jonathan,Toews,6300,C,CHI,NJD,1,1,3.2
Anze,Kopitar,6800,C,LOS,SAN,1,1,3.2
Evgeny,Kuznetsov,6500,C,WAS,EDM,1,1,3.1
Kyle,Palmieri,5200,W,NJD,CHI,1,1,3.1
Jakob,Silfverberg,5100,W,ANA,TAM,2,2,3
Logan,Couture,6200,C,SAN,LOS,2,2,3
Drew,Doughty,5600,D,LOS,SAN,1,1,3
Brayden,Point,5400,C,TAM,ANA,2,2,3
Ondrej,Palat,4500,W,TAM,ANA,2,2,2.9
Rickard,Rakell,6000,W,ANA,TAM,1,1,2.9
Corey,Perry,5400,W,ANA,TAM,1,1,2.9
Alec,Martinez,4700,D,LOS,SAN,2,2,2.8
Tyler,Johnson,3400,C,TAM,ANA,3,3,2.8
Tyler,Toffoli,5800,W,LOS,SAN,2,2,2.8
Duncan,Keith,4900,D,CHI,NJD,1,1,2.8
Ryan,Nugent-Hopkins,5500,C,EDM,WAS,2,2,2.7
Yanni,Gourde,4800,W,TAM,ANA,2,2,2.7
Adam,Henrique,4700,C,NJD,CHI,2,2,2.6
Lars,Eller,4000,C,WAS,EDM,3,3,2.6
Vladislav,Namestnikov,5900,W,TAM,ANA,1,1,2.6
Nico,Hischier,5200,C,NJD,CHI,1,1,2.5
Anton,Stralman,3100,D,TAM,ANA,2,2,2.5
Ryan,Strome,3500,C,EDM,WAS,3,3,2.5
Chandler,Stephenson,3400,W,WAS,EDM,2,2,2.5
Alex,DeBrincat,3700,W,CHI,NJD,3,3,2.5
Milan,Lucic,4700,W,EDM,WAS,2,2,2.5
Jake,Muzzin,5100,D,LOS,SAN,3,3,2.5
Artem,Anisimov,4500,C,CHI,NJD,2,2,2.5
Jesper,Bratt,4600,W,NJD,CHI,2,2,2.5
Brent,Seabrook,3800,D,CHI,NJD,2,2,2.4
Jakub,Vrana,3500,W,WAS,EDM,3,3,2.4
Sami,Vatanen,3600,D,ANA,TAM,3,3,2.4
Drew,Stafford,4100,W,NJD,CHI,2,2,2.4
Jake,Dotchin,3000,D,TAM,ANA,1,1,2.4
Taylor,Chorney,2900,D,WAS,EDM,2,2,2.4
Will,Butcher,4200,D,NJD,CHI,3,3,2.4
Darnell,Nurse,3500,D,EDM,WAS,1,1,2.4
Adam,Larsson,3400,D,EDM,WAS,1,1,2.4
Christian,Djoos,3300,D,WAS,EDM,1,1,2.3
Marc-Edouard,Vlasic,3400,D,SAN,LOS,2,2,2.3
Steven,Santini,3000,D,NJD,CHI,1,1,2.3
Patrick,Maroon,5700,W,EDM,WAS,1,1,2.3
Mikhail,Sergachev,4400,D,TAM,ANA,2,2,2.3
Richard,Panik,5000,W,CHI,NJD,1,1,2.3
Matthew,Benning,3200,D,EDM,WAS,2,2,2.3
Dustin,Brown,5600,W,LOS,SAN,1,1,2.3
Derek,Forbort,3200,D,LOS,SAN,1,1,2.3
Tanner,Pearson,4300,W,LOS,SAN,2,2,2.2
Brian,Boyle,3300,C,NJD,CHI,3,3,2.2
Damon,Severson,3200,D,NJD,CHI,2,2,2.2
Derek,Grant,3900,C,ANA,TAM,1,1,2.2
Dmitry,Orlov,3300,D,WAS,EDM,2,2,2.2
Tomas,Hertl,4400,W,SAN,LOS,2,2,2.2
Francois,Beauchemin,3000,D,ANA,TAM,2,2,2.1
Tim,Heed,4300,D,SAN,LOS,3,3,2.1
Oscar,Fantenberg,3100,D,LOS,SAN,3,3,2.1
Nick,Schmaltz,4200,W,CHI,NJD,2,2,2.1
Kurtis,MacDermid,2900,D,LOS,SAN,2,2,2.1
Joe,Thornton,4200,C,SAN,LOS,1,1,2.1
Andrew,Cogliano,3700,W,ANA,TAM,2,2,2.1
Hampus,Lindholm,4100,D,ANA,TAM,1,1,2.1
Joonas,Donskoi,3900,W,SAN,LOS,3,3,2.1
Justin,Braun,3100,D,SAN,LOS,2,2,2.1
Connor,Murphy,3000,D,CHI,NJD,2,2,2
Joakim,Ryan,3300,D,SAN,LOS,1,1,2
Alex,Iafallo,3600,W,LOS,SAN,1,1,2
John,Moore,3100,D,NJD,CHI,2,2,2
Andy,Greene,3100,D,NJD,CHI,1,1,2
Mikkel,Boedker,3300,W,SAN,LOS,3,3,1.9
Brandon,Montour,4000,D,ANA,TAM,2,2,1.9
Antoine,Vermette,3700,C,ANA,TAM,3,3,1.9
Devante,Smith-Pelly,3800,W,WAS,EDM,1,1,1.9
Melker,Karlsson,3300,W,SAN,LOS,2,2,1.7
Jesse,Puljujarvi,3400,W,EDM,WAS,2,2,1.6
Adrian,Kempe,4100,C,LOS,SAN,2,2,1.6
Josh,Manson,3200,D,ANA,TAM,1,1,1.5
Cody,Franson,3400,D,CHI,NJD,1,1,1.5
Kris,Russell,3300,D,EDM,WAS,3,3,1.4
Chris,Wagner,3200,C,ANA,TAM,2,2,1.3
Jimmy,Hayes,3200,W,NJD,CHI,3,3,1.3
Braydon,Coburn,2900,D,TAM,ANA,3,3,1.2
Madison,Bowey,2900,D,WAS,EDM,3,3,1.2
Brooks,Orpik,3100,D,WAS,EDM,3,3,1.2
Tom,Wilson,3200,W,WAS,EDM,3,3,1.2
Ryan,Callahan,3000,W,TAM,ANA,3,3,1.2
Miles,Wood,3100,W,NJD,CHI,3,3,1.1
Mirco,Mueller,3000,D,NJD,CHI,3,3,1.1
Gustav,Forsling,3000,D,CHI,NJD,3,3,1.1
Michael,Cammalleri,3200,W,LOS,SAN,3,3,1.1
Dan,Girardi,3200,D,TAM,ANA,3,3,1.1
Jan,Rutta,3200,D,CHI,NJD,3,3,1.1
Chris,Kunitz,3000,W,TAM,ANA,3,3,1.1
Eric,Gryba,2900,D,EDM,WAS,3,3,1.1
Lance,Bouma,2900,W,CHI,NJD,3,3,1
Brenden,Dillon,3000,D,SAN,LOS,3,3,1
Jussi,Jokinen,3000,W,EDM,WAS,3,3,0.9
